source_id,clean_title,prompt,negative_prompt,photo_status,photo_path
Все рецепты!R89 | SWBAND.CO | page/file 99,Белковые фаршированные мини-перцы с лососем,"Реалистичная фуд-фотография блюда «Белковые фаршированные мини-перцы с лососем» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (мини-перцы, творог 5%, копчёный лосось, укроп, лимонный сок, оливковое масло), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r89_belkovye_farshirovannye_mini_pertsy_s_lososem.png
Все рецепты!R42 | SWBAND.CO | page/file 48,Бургер в хрустящем листе айсберга,"Реалистичная фуд-фотография блюда «Бургер в хрустящем листе айсберга» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (говяжий фарш, сыр, айсберг, томаты, красный лук, греческий йогурт), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r42_burger_v_hrustyaschem_liste_aysberga.png
Все рецепты!R43 | SWBAND.CO | page/file 49,Бургер в чесночной йогуртовой булочке,"Реалистичная фуд-фотография блюда «Бургер в чесночной йогуртовой булочке» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (цельнозерновая мука, йогурт, разрыхлитель, соль, сухой чеснок, кунжут), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r43_burger_v_chesnochnoy_yogurtovoy_bulochke.png
Все рецепты!R80 | SWBAND.CO | page/file 89,Зелёная окрошка на минералке с лососем,"Реалистичная фуд-фотография блюда «Зелёная окрошка на минералке с лососем» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (малосольный лосось, минеральная вода, огурцы, авокадо, укроп, зелёный лук), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r80_zelenaya_okroshka_na_mineralke_s_lososem.png
Все рецепты!R75 | SWBAND.CO | page/file 84,Классическая окрошка на квасе с говяжьим языком,"Реалистичная фуд-фотография блюда «Классическая окрошка на квасе с говяжьим языком» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (отварной говяжий язык, несладкий квас, огурцы, редис, яйца, отварной картофель), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r75_klassicheskaya_okroshka_na_kvase_s_govyazhim_yaz.png
Все рецепты!R41 | SWBAND.CO | page/file 47,Лахмаджун,"Реалистичная фуд-фотография блюда «Лахмаджун» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (тонкий лаваш, говяжий фарш, томаты, сулугуни, лук, паприка), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r41_lahmadzhun.png
Все рецепты!R56 | SWBAND.CO | page/file 63,Молодая морковь с йогуртом и фисташками,"Реалистичная фуд-фотография блюда «Молодая морковь с йогуртом и фисташками» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (молодая морковь, рафинированное растительное масло, йогурт, фисташки, мята, оливковое масло extra virgin), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r56_molodaya_morkov_s_yogurtom_i_fistashkami.png
Все рецепты!R79 | SWBAND.CO | page/file 88,Окрошка fit с индюшачьей колбасой,"Реалистичная фуд-фотография блюда «Окрошка fit с индюшачьей колбасой» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (индюшачья варёная колбаса, квас, огурцы, редис, яйца, зелёный лук), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r79_okroshka_fit_s_indyushachey_kolbasoy.png
Все рецепты!R77 | SWBAND.CO | page/file 86,Окрошка на кефире и минералке с индейкой,"Реалистичная фуд-фотография блюда «Окрошка на кефире и минералке с индейкой» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (отварная индейка, кефир, минеральная вода, огурцы, редис, яйца), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r77_okroshka_na_kefire_i_mineralke_s_indeykoy.png
Все рецепты!R78 | SWBAND.CO | page/file 87,Окрошка на мацони с курицей,"Реалистичная фуд-фотография блюда «Окрошка на мацони с курицей» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (отварная курица, мацони, холодная вода, огурцы, яйца, зелёный лук), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r78_okroshka_na_matsoni_s_kuritsey.png
Все рецепты!R71 | SWBAND.CO | page/file 79,Салат из печёного перца и творога,"Реалистичная фуд-фотография блюда «Салат из печёного перца и творога» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (перцы, творог 5%, базилик, петрушка, чеснок — з г, соль), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r71_salat_iz_pechenogo_pertsa_i_tvoroga.png
Все рецепты!R69 | SWBAND.CO | page/file 77,Салат из цукини с пармезаном и руколой,"Реалистичная фуд-фотография блюда «Салат из цукини с пармезаном и руколой» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (цукини, пармезан, рукола, лимонный сок, оливковое масло), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r69_salat_iz_tsukini_s_parmezanom_i_rukoloy.png
Все рецепты!R68 | SWBAND.CO | page/file 76,"Свёкла с йогуртом, фисташками и апельсином","Реалистичная фуд-фотография блюда «Свёкла с йогуртом, фисташками и апельсином» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (свёкла, йогурт, фисташки, апельсин, мята), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r68_svekla_s_yogurtom_fistashkami_i_apelsinom.png
Все рецепты!R45 | SWBAND.CO | page/file 51,Такос на домашней чечевичной лепёшке,"Реалистичная фуд-фотография блюда «Такос на домашней чечевичной лепёшке» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (красная чечевица сухая, вода, соль, фарш индейки, авокадо, томаты), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r45_takos_na_domashney_chechevichnoy_lepeshke.png
Все рецепты!R85 | SWBAND.CO | page/file 95,Томатная овсянка с яйцом пашот,"Реалистичная фуд-фотография блюда «Томатная овсянка с яйцом пашот» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (томаты, овсяные хлопья, вода, яйца, пармезан, оливковое масло), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r85_tomatnaya_ovsyanka_s_yaytsom_pashot.png
