rank,recipe_id,title,suspicion_reasons,suggested_decision,is_new_r401_r610,blocker_or_warning
1,r115_govyazhi_frikadelki_v_souse_iz_krasnoy_fasoli_souse_s_,Говяжьи фрикадельки в соусе из красной фасоли соусе с лапшой,"ingredient in list not named in steps: 4 (whole_grain_bread, egg_noodles, stir_fry_vegetables, mint); title keyword missing from ingredients/steps: title contains `beans`, but expected ingredient/clear preparation was not found; missing approximate/user-friendly measure: 1; e.g. соус из черных бобов — 30 г; 4 ingredients in list are not named in steps",F. needs user decision (rename recipe vs add missing ingredient/step),no,warning
2,r171_spagetti_boloneze_s_govyadinoy_i_svininoy,Спагетти болоньезе с говядиной и свининой,"ingredient in list not named in steps: 2 (tomato_paste, oregano); title keyword missing from ingredients/steps: title contains `pork`, but expected ingredient/clear preparation was not found",F. needs user decision (rename recipe vs add missing ingredient/step),no,warning
3,r034_pankeyki_na_protivne_s_chetyrmya_toppingami,Панкейки на противне с четырьмя топпингами,"ingredient in list not named in steps: 4 (wheat_flour, peanut_butter, blueberries); 4 ingredients in list are not named in steps; user-reported peanut-butter tiny amount: 2.5 g at ingredient line 10",F. needs user decision (verify tiny quantity/measure),no,warning
4,r607_syrnye_lepeshki,Сырные лепёшки,ingredient in list not named in steps: 1 (wheat_flour); tiny/zero gram anomaly: `baking_powder` has 0 g without an obvious intentional marker; missing approximate/user-friendly measure: 1; e.g. сыр гауда — 50 г; extra ranking weight: transferred range r401-r610,F. needs user decision (correct zero/tiny quantity),yes,warning
5,r595_lavash_s_gorbushey_i_ovoschami,Лаваш с горбушей и овощами,"ingredient in list not named in steps: 3 (cucumber, lettuce, carrot); steps mention ingredient missing from list: mayonnaise; missing approximate/user-friendly measure: 1; e.g. хумус — 80 г; extra ranking weight: transferred range r401-r610",C. add missing ingredient/step,yes,warning
6,r474_kurinye_kotlety_s_kabachkom,Куриные котлеты с кабачком,"ingredient in list not named in steps: 6 (chicken_ground, zucchini, carrot, egg, garlic, mustard); truncation/fragment/weak finish: 1; e.g. Обжаривайте до золотистой корочки; 6 ingredients in list are not named in steps; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
7,r062_veganskie_myusli_maffiny_s_yablokom_i_pekanom,Веганские мюсли-маффины с яблоком и пеканом,"missing approximate/user-friendly measure: 2; e.g. ореховая паста — 3,75 г (2,5 г в тесто + 1,25 г сверху); ingredient in list not named in steps: 1 (wheat_flour); truncation/fragment/weak finish: 1; e.g. Выпекайте 25–30 минут до золотистой верхушки и сухой шпажки; user-reported peanut-butter tiny amount: 3.75 g at ingredient line 8",F. needs user decision (verify tiny quantity/measure),no,warning
8,r061_tselnozernovye_maffiny_s_bananom_yablokom_i_chernikoy,"Цельнозерновые маффины с бананом, яблоком и черникой","ingredient in list not named in steps: 3 (apple_sauce, honey, wheat_flour); tiny/zero gram anomaly: `nuts_mix` has suspiciously tiny quantity 1.5 g; missing approximate/user-friendly measure: 1; e.g. смесь семечек — 1,5 г",F. needs user decision (verify tiny quantity/measure),no,warning
9,r308_bezglyutenovye_bananovo_grechnevye_maffiny_s_gretskimi,Безглютеновые бананово-гречневые маффины с грецкими орехами,"ingredient in list not named in steps: 2 (wheat_flour, almonds); missing approximate/user-friendly measure: 2; e.g. миндальная мука — 3 г; tiny/zero gram anomaly: `almonds` has suspiciously tiny quantity 3 g",F. needs user decision (verify tiny quantity/measure),no,warning
10,r577_ovsyanye_shariki,Овсяные шарики,"ingredient in list not named in steps: 5 (oats, peanut_butter, honey, cocoa_powder, sunflower_seeds); truncation/fragment/weak finish: 1; e.g. Уберите в холодильник на 30 минут, чтобы они стали плотнее; 5 ingredients in list are not named in steps; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
11,r598_ovsyanka_s_bananom_i_arahisovoy_pastoy,Овсянка с бананом и арахисовой пастой,ingredient in list not named in steps: 1 (peanut_butter); user-reported peanut-butter tiny amount: 5 g at ingredient line 4; extra ranking weight: transferred range r401-r610,F. needs user decision (verify tiny quantity/measure),yes,warning
12,r631_shpinatnye_bliny_s_tomatami,Шпинатные блины с томатами,"ingredient in list not named in steps: 2 (milk, wheat_flour); tiny/zero gram anomaly: `vinegar` has suspiciously tiny quantity 1.25 g; missing approximate/user-friendly measure: 1; e.g. уксус — 1,25 г",F. needs user decision (verify tiny quantity/measure),no,warning
13,r063_speltovye_maffiny_s_ezhevikoy_bananom_i_finikami,"Спельтовые маффины с ежевикой, бананом и финиками","missing approximate/user-friendly measure: 2; e.g. финики без косточек — 6,67 г; tiny/zero gram anomaly: `pecans` has suspiciously tiny quantity 2.5 g; ingredient in list not named in steps: 1 (wheat_flour)",F. needs user decision (verify tiny quantity/measure),no,warning
14,r209_kinoa_gado_gado_s_ovoschami_i_ostrym_arahisovym_sousom,Киноа гадо-гадо с овощами и острым арахисовым соусом,missing approximate/user-friendly measure: 2; e.g. Кремовая арахисовая паста — 40 г; tiny/zero gram anomaly: `sriracha` has suspiciously tiny quantity 2.5 g; ingredient in list not named in steps: 1 (red_beans),F. needs user decision (verify tiny quantity/measure),no,warning
15,r452_makarony_s_kuritsey_i_ovoschami_na_skovorode,Макароны с курицей и овощами на сковороде,"ingredient in list not named in steps: 4 (bell_pepper, tomato, greens, garlic); truncation/fragment/weak finish: 1; e.g. Добавьте нарезанный сельдерей и снова накройте крышкой; 4 ingredients in list are not named in steps; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
