source_id,source_title,clean_title,meal_type,ready_for_import,needs_user_decision,decision_reason,duplicate_risk,similar_existing_recipe,nutrition_status,photo_status,photo_path,user_decision
Все рецепты!R89 | SWBAND.CO | page/file 99,Белковые фаршированные мини-перцы с лососем,Белковые фаршированные мини-перцы с лососем,breakfast,yes,no,cleaned and staged,low,,pending_estimation_needed,generated,photos/selected53_r89_belkovye_farshirovannye_mini_pertsy_s_lososem.png,
Все рецепты!R42 | SWBAND.CO | page/file 48,Бургер в хрустящем листе айсберга,Бургер в хрустящем листе айсберга,lunch,yes,no,cleaned and staged,low,,pending_estimation_needed,generated,photos/selected53_r42_burger_v_hrustyaschem_liste_aysberga.png,
Все рецепты!R43 | SWBAND.CO | page/file 49,Бургер в чесночной йогуртовой булочке,Бургер в чесночной йогуртовой булочке,lunch,yes,no,cleaned and staged,low,,pending_estimation_needed,generated,photos/selected53_r43_burger_v_chesnochnoy_yogurtovoy_bulochke.png,
Все рецепты!R80 | SWBAND.CO | page/file 89,Зелёная окрошка на минералке с лососем,Зелёная окрошка на минералке с лососем,lunch,yes,no,cleaned and staged,low,,pending_estimation_needed,generated,photos/selected53_r80_zelenaya_okroshka_na_mineralke_s_lososem.png,
Все рецепты!R75 | SWBAND.CO | page/file 84,Классическая окрошка на квасе с языком,Классическая окрошка на квасе с говяжьим языком,lunch,yes,no,cleaned and staged,low,,pending_estimation_needed,generated,photos/selected53_r75_klassicheskaya_okroshka_na_kvase_s_govyazhim_yaz.png,
Все рецепты!R41 | SWBAND.CO | page/file 47,Лахмаджун,Лахмаджун,lunch,yes,no,cleaned and staged,low,,pending_estimation_needed,generated,photos/selected53_r41_lahmadzhun.png,
Все рецепты!R56 | SWBAND.CO | page/file 63,Молодая морковь с йогуртом и фисташками,Молодая морковь с йогуртом и фисташками,snack,yes,no,APPROVED_PENDING_PHOTO: масло авокадо заменено на рафинированное растительное; photo generation still required before import.,low,,pending_estimation_needed,generated,photos/selected53_r56_molodaya_morkov_s_yogurtom_i_fistashkami.png,APPROVED_PENDING_PHOTO — Заменить масло авокадо на любое подходящее растительное масло.
Все рецепты!R79 | SWBAND.CO | page/file 88,Окрошка fit с индюшачьей колбасой,Окрошка fit с индюшачьей колбасой,lunch,yes,no,cleaned and staged,low,,pending_estimation_needed,generated,photos/selected53_r79_okroshka_fit_s_indyushachey_kolbasoy.png,
Все рецепты!R77 | SWBAND.CO | page/file 86,Окрошка на кефире и минералке с индейкой,Окрошка на кефире и минералке с индейкой,lunch,yes,no,cleaned and staged,low,,pending_estimation_needed,generated,photos/selected53_r77_okroshka_na_kefire_i_mineralke_s_indeykoy.png,
Все рецепты!R78 | SWBAND.CO | page/file 87,Окрошка на мацони с курицей,Окрошка на мацони с курицей,lunch,yes,no,cleaned and staged,low,,pending_estimation_needed,generated,photos/selected53_r78_okroshka_na_matsoni_s_kuritsey.png,
Все рецепты!R71 | SWBAND.CO | page/file 79,Салат из печёного перца и творога,Салат из печёного перца и творога,snack,yes,no,ready for re-review after staging cleanup: removed OCR note from ingredients and parsed чеснок 3 г.,low,,pending_estimation_needed,generated,photos/selected53_r71_salat_iz_pechenogo_pertsa_i_tvoroga.png,
Все рецепты!R69 | SWBAND.CO | page/file 77,Салат из цукини с пармезаном и руколой,Салат из цукини с пармезаном и руколой,snack,yes,no,ready for re-review after staging cleanup: parsed оливковое масло 10 мл from split source line and added salt from source.,low,,pending_estimation_needed,generated,photos/selected53_r69_salat_iz_tsukini_s_parmezanom_i_rukoloy.png,
Все рецепты!R68 | SWBAND.CO | page/file 76,"Свёкла с йогуртом, фисташками и апельсином","Свёкла с йогуртом, фисташками и апельсином",snack,yes,no,cleaned and staged,low,,pending_estimation_needed,generated,photos/selected53_r68_svekla_s_yogurtom_fistashkami_i_apelsinom.png,
Все рецепты!R45 | SWBAND.CO | page/file 51,Такос на домашней чечевичной лепёшке,Такос на домашней чечевичной лепёшке,lunch,yes,no,cleaned and staged,low,,pending_estimation_needed,generated,photos/selected53_r45_takos_na_domashney_chechevichnoy_lepeshke.png,
Все рецепты!R85 | SWBAND.CO | page/file 95,Томатная овсянка с яйцом пашот,Томатная овсянка с яйцом пашот,breakfast,yes,no,cleaned and staged,low,,pending_estimation_needed,generated,photos/selected53_r85_tomatnaya_ovsyanka_s_yaytsom_pashot.png,
Все рецепты!R62 | SWBAND.CO | page/file 70,Тёплый салат из брокколи и эдамаме,Тёплый салат из брокколи и эдамаме,snack,yes,no,"APPROVED_PENDING_PHOTO: user approved edamame; content resolved, photo generation still required before import.",low,,pending_estimation_needed,generated,photos/selected53_r62_teplyy_salat_iz_brokkoli_i_edamame.png,"APPROVED_PENDING_PHOTO — Оставить эдамаме: продукт можно купить, рецепт оставляем."
Все рецепты!R67 | SWBAND.CO | page/file 75,"Тёплый салат с кальмарами, фенхелем и апельсином","Тёплый салат с кальмарами, сельдереем и апельсином",snack,yes,no,APPROVED_PENDING_PHOTO: фенхель заменен на стеблевой сельдерей; photo generation still required before import.,low,,pending_estimation_needed,generated,photos/selected53_r67_teplyy_salat_s_kalmarami_seldereem_i_apelsinom.png,"APPROVED_PENDING_PHOTO — Попробовать заменить фенхель; если нормальной замены нет, удалить рецепт."
Все рецепты!R84 | SWBAND.CO | page/file 93,Холодный суп из авокадо и зелёНОГ0 горошка,Холодный суп из авокадо и зелёного горошка,lunch,yes,no,ready for re-review after staging cleanup: parsed split source quantity for зелёный горошек 350 г.,low,,pending_estimation_needed,generated,photos/selected53_r84_holodnyy_sup_iz_avokado_i_zelenogo_goroshka.png,
Все рецепты!R59 | SWBAND.CO | page/file 66,Хрустящая зелёная фасоль с кунжутным йогуртом,Хрустящая зелёная фасоль с кунжутным йогуртом,snack,yes,no,APPROVED_PENDING_PHOTO: тахини заменена на молотый кунжут; photo generation still required before import.,low,,pending_estimation_needed,generated,photos/selected53_r59_hrustyaschaya_zelenaya_fasol_s_kunzhutnym_yogurtom.png,"APPROVED_PENDING_PHOTO — Попробовать заменить тахини/кунжутную пасту; если нормальной замены нет, удалить рецепт."
Все рецепты!R91 | SWBAND.CO | page/file 101,Хрустящие роллы из рисовой бумаги с креветкой,Хрустящие роллы из рисовой бумаги с креветкой,snack,yes,no,"APPROVED_PENDING_PHOTO: user approved rice paper; content resolved, photo generation still required before import.",low,,pending_estimation_needed,generated,photos/selected53_r91_hrustyaschie_rolly_iz_risovoy_bumagi_s_krevetkoy.png,"APPROVED_PENDING_PHOTO — Оставить рисовую бумагу: нормально продаётся, рецепт оставляем."
Все рецепты!R87 | SWBAND.CO | page/file 97,Хрустящие творожно кабачковые оладьи,Хрустящие творожно-кабачковые оладьи,breakfast,no,no,SKIP: user requested duplicate to be removed/skipped; row retained for traceability.,high,Кабачковые оладьи с овсяными хлопьями / Кабачковые оладьи без яиц,pending_estimation_needed,generated,photos/selected53_r87_hrustyaschie_tvorozhno_kabachkovye_oladi.png,SKIP — Удалить/пропустить как дубль.
Все рецепты!R52 | SWBAND.CO | page/file 59,Цветная капуста целиком с зелёным соусом,Цветная капуста целиком с зелёным соусом,snack,yes,no,"APPROVED_PENDING_PHOTO: рисовое масло заменено на растительное, тахини заменена на молотый кунжут; photo generation still required before import.",low,,pending_estimation_needed,generated,photos/selected53_r52_tsvetnaya_kapusta_tselikom_s_zelenym_sousom.png,"APPROVED_PENDING_PHOTO — Рисовое масло заменить на любое подходящее; тахини заменить, а если нельзя заменить — удалить рецепт."
