severity,group,code,recipe_no,recipe_id,title,line_index,food_id,message,evidence,recommendation
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,1,r001_ovsyanka_na_noch_s_yagodami,Овсянка на ночь с ягодами,1,oats,`oats` is in ingredients but not found in instructions by known aliases,Овсяные хлопья — 50 г,
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,1,r001_ovsyanka_na_noch_s_yagodami,Овсянка на ночь с ягодами,5,peanut_butter,`peanut_butter` is in ingredients but not found in instructions by known aliases,Ореховая паста — 8 г (≈1/2 ст. л.),
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,2,r002_tost_s_avokado,Тост с авокадо,2,lemon_juice,`lemon_juice` is in ingredients but not found in instructions by known aliases,Лимонный сок — 10–15 г (из 1/2 лимона),
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,2,r002_tost_s_avokado,Тост с авокадо,4,whole_grain_bread,`whole_grain_bread` is in ingredients but not found in instructions by known aliases,Хлеб на закваске — 2 ломтика / ≈80–100 г,
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,3,r003_shakshuka,Шакшука,3,chili_pepper,`chili_pepper` is in ingredients but not found in instructions by known aliases,"Красный перец чили — 0,5 шт. / ≈5 г",
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,4,r004_bananovo_ovsyanye_pankeyki,Бананово-овсяные панкейки,2,egg,`egg` is in ingredients but not found in instructions by known aliases,Яйца — 1 шт.,
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,4,r004_bananovo_ovsyanye_pankeyki,Бананово-овсяные панкейки,4,oats,`oats` is in ingredients but not found in instructions by known aliases,Овсяные хлопья — 50 г,
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,4,r004_bananovo_ovsyanye_pankeyki,Бананово-овсяные панкейки,9,berries,`berries` is in ingredients but not found in instructions by known aliases,Фрукты или ягоды — 40–60 г,
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,5,r005_chia_puding,Чиа-пудинг,1,chia_seeds,`chia_seeds` is in ingredients but not found in instructions by known aliases,Семена чиа — 24 г (≈2 ст. л.),
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,5,r005_chia_puding,Чиа-пудинг,3,maple_syrup,`maple_syrup` is in ingredients but not found in instructions by known aliases,Кленовый сироп — 10–12 г (≈2 ч. л.),
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,6,r006_burrito_na_zavtrak,Буррито на завтрак,1,hot_sauce,`hot_sauce` is in ingredients but not found in instructions by known aliases,Паста чипотле или острый соус с копченой паприкой — 5 г (1 ч. л.),
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,7,r007_yaichnye_maffiny_s_ovoschami,Яичные маффины с овощами,4,green_onion,`green_onion` is in ingredients but not found in instructions by known aliases,"Зелёный лук — 0,5 пера / ≈5 г",
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,7,r007_yaichnye_maffiny_s_ovoschami,Яичные маффины с овощами,6,milk,`milk` is in ingredients but not found in instructions by known aliases,"Цельное молоко — 3,75 г (0,25 ст. л.)",
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,7,r007_yaichnye_maffiny_s_ovoschami,Яичные маффины с овощами,9,green_onion,`green_onion` is in ingredients but not found in instructions by known aliases,"Зеленый лук — 1,25 г",
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,8,r008_yagodnyy_smuzi_boul,Ягодный смузи-боул,4,maple_syrup,`maple_syrup` is in ingredients but not found in instructions by known aliases,Кленовый сироп — 5–6 г (1 ч. л.),
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,8,r008_yagodnyy_smuzi_boul,Ягодный смузи-боул,5,whey_protein,`whey_protein` is in ingredients but not found in instructions by known aliases,Ванильный протеин — 5 г (≈1/2 ст. л.),
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,8,r008_yagodnyy_smuzi_boul,Ягодный смузи-боул,9,almond_butter,`almond_butter` is in ingredients but not found in instructions by known aliases,Миндальная паста — 15–16 г (1 ст. л.),
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,9,r009_klassicheskaya_ovsyanaya_kasha,Классическая овсяная каша,1,oats,`oats` is in ingredients but not found in instructions by known aliases,Овсяные хлопья — 25 г,
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,9,r009_klassicheskaya_ovsyanaya_kasha,Классическая овсяная каша,5,honey,`honey` is in ingredients but not found in instructions by known aliases,"Мёд — 2,5–5 г",
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,13,r013_birher_s_kinoa_persikom_i_imbirem,"Бирхер с киноа, персиком и имбирем",3,ginger,`ginger` is in ingredients but not found in instructions by known aliases,"свежий имбирь — 3,33 г, мелко натереть",
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,13,r013_birher_s_kinoa_persikom_i_imbirem,"Бирхер с киноа, персиком и имбирем",5,milk,`milk` is in ingredients but not found in instructions by known aliases,"молоко — 62,5 мл",
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,15,r015_morkovnaya_ovsyanaya_kasha_v_stile_morkovnogo_piroga,Морковная овсяная каша в стиле морковного пирога,6,milk,`milk` is in ingredients but not found in instructions by known aliases,молоко — 300 мл,
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,15,r015_morkovnaya_ovsyanaya_kasha_v_stile_morkovnogo_piroga,Морковная овсяная каша в стиле морковного пирога,8,honey,`honey` is in ingredients but not found in instructions by known aliases,"мед — 6,67 г",
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,16,r016_ovsyanaya_chia_boul_s_malinovym_yagodnyy_sousom,Овсяная чиа-боул с малиновым ягодный соусом,6,almond_butter,`almond_butter` is in ingredients but not found in instructions by known aliases,миндальная паста — 16 г (примерно 1 ст. л.),
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,17,r017_tykvennaya_pryanaya_ovsyanka,Тыквенная пряная овсянка,2,milk,`milk` is in ingredients but not found in instructions by known aliases,молоко — 100 мл,
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,17,r017_tykvennaya_pryanaya_ovsyanka,Тыквенная пряная овсянка,4,cranberries_dried,`cranberries_dried` is in ingredients but not found in instructions by known aliases,сушеная клюква — 10 г,
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,19,r019_tostirovannyy_myusli_s_mindalem_kokosom_i_konoplyanymi,"Тостированный мюсли с миндалем, кокосом и конопляными семенами",3,coconut_flakes,`coconut_flakes` is in ingredients but not found in instructions by known aliases,"несладкая кокосовая стружка или хлопья — 3,75 г",
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,19,r019_tostirovannyy_myusli_s_mindalem_kokosom_i_konoplyanymi,"Тостированный мюсли с миндалем, кокосом и конопляными семенами",9,cranberries_dried,`cranberries_dried` is in ingredients but not found in instructions by known aliases,"сушеная клюква — 3,75 г, порубить",
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,19,r019_tostirovannyy_myusli_s_mindalem_kokosom_i_konoplyanymi,"Тостированный мюсли с миндалем, кокосом и конопляными семенами",11,milk,`milk` is in ingredients but not found in instructions by known aliases,"молоко или йогурт — около 0,12 л/кг",
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,20,r020_domashnyaya_granola_s_gretskimi_orehami_i_klyukvoy,Домашняя гранола с грецкими орехами и клюквой,8,almond_butter,`almond_butter` is in ingredients but not found in instructions by known aliases,"кремовая миндальная паста — 6,4 г (примерно 1,5 ч. л.)",
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,23,r023_zapechennaya_frittata_so_shpinatom_pertsem_i_tomatami,"Запеченная фриттата со шпинатом, перцем и томатами",6,roasted_red_pepper,`roasted_red_pepper` is in ingredients but not found in instructions by known aliases,"запеченный красный перец — 0,5 шт., нарезать полосками",
warning,ingredient_missing_from_steps,ingredient_not_named_in_steps,24,r024_frittata_s_brokkoli_zelenym_lukom_i_fetoy,"Фриттата с брокколи, зеленым луком и фетой",2,almond_milk,`almond_milk` is in ingredients but not found in instructions by known aliases,"несладкое миндальное молоко или обычное молоко — 17,1 мл",
