source_id,title,classification,score_0_100,meal_type,time_estimate,difficulty,main_ingredients,source_ingredients_full,source_steps_full,source_notes_raw,source_file,why_good_or_bad,reject_reason,duplicate_risk,similar_existing_recipe,cis_availability,nutrition_feasibility,adaptation_needed,manual_review_notes,user_decision
Все рецепты!R89 | SWBAND.CO | page/file 99,Белковые фаршированные мини-перцы с лососем,GOOD_CANDIDATE,92,breakfast,15-30 min,medium,Мини-перцы; Творог 5%; Копчёный лосось; Укроп; Оливковое масло,"Мини-перцы — 12 шт.
• Творог 5% — 250 г
• Копчёный лосось
- 180 г
Укроп — 15 г
Лимонный сок — 10 мл
Оливковое масло — 5 мл
• Чёрный перец —1 г","1.
Разрежьте перцы вдоль и удалите
семена.
2.
Мелко порубите лосось.
З.
Смешайте творог, лосось, укроп,
лимонный сок, масло и перец.
4.
Наполните половинки перцев.
5.
Уберите в холодильник на 20
минут.","О А Творог и копчёный лосось без термообработки — все питательные
вещества сохраняются. Вместе они дают кальций, омега-З и
высококачественный белок. Один средний перец покрывает суточную
норму витамина С.
Показания: при дефиците кальция и омега-З, при беременности.
Быстрая з ку ка езг товки.",[SWBAND.CO] 102 рецепта для снижения веса тела.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients,,low,,medium,good,consider replacing rare/expensive items with CIS supermarket alternatives,SWBAND row came from OCR extraction; verify text and quantities; source notes may contain OCR artifacts,
Все рецепты!R42 | SWBAND.CO | page/file 48,Бургер в хрустящем листе айсберга,GOOD_CANDIDATE,92,unknown,up to 15 min,medium,Говяжий фарш; сыр; Айсберг; Томаты; Красный лук; Соус: греческий йогурт,"• Говяжий фарш — 600 г
• сыр -120 г
Айсберг — 1 кочан
150 г
. Томаты —
Красный лук — 50 г
• Соус: греческий йогурт
- 100 г,
горчица — 10 г, чеснок — 4 г","1.
Сформировать 4 котлеты.
2.
Жарить по 4 мин с каждой стороны.
Листья айсберга разобрать, самые
З.
крупные оставить целыми.
Смешать соус.
4.
Собрать: лист айсберга — соус —
5.
котлета — сыр — томат — лук —
второй лист.","О Замена хлебной булочки листом айсберга убирает около 200 ккал и
40 г углеводов из блюда. Айсберг содержит лактуцин — вещество с
лёгким успокаивающим эффектом. Говяжья котлета с сыром при минимуме
углеводов — вариант для низкоуглеводного питания.
Показания: При диабете, кетодиете и строгом снижении веса. Хорошо
подходит тем, кто из егает глютена.
1 бургер бе
Порция",[SWBAND.CO] 102 рецепта для снижения веса тела.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients,,low,,good,good,,SWBAND row came from OCR extraction; verify text and quantities; source notes may contain OCR artifacts,
Все рецепты!R43 | SWBAND.CO | page/file 49,Бургер в чесночной йогуртовой булочке,GOOD_CANDIDATE,92,unknown,15-30 min,medium,"Мука цельнозерновая; йогурт; Разрыхлитель; Сухой чеснок; Кунжут, желток; Фарш индейки","Мука цельнозерновая — 220 г
йогурт — 180 г
Разрыхлитель — 8 г
Соль — 4 г
Сухой чеснок — 4 г
Кунжут, желток — 1 шт.
• Фарш индейки — 600 г
лук - 60 г
• Соль —8 г, перец —2 г
Начинка:
150 г
. томаты —
• салат — 60 г
• красный лук — 50 г
дзадзики — 120 г","Смешать муку, соль, чеснок, разрыхлитель.
1.
Добавить йогурт, замесить тесто.
2.
Разделить на 4 шарика, смазать желтком,
посыпать кунжутом.
Выпекать 20 мин при 1900С.
З.
Смешать фарш с луком и специями.
4.
Сформировать котлеты.
5.
Жарить по 4 мин с каждой стороны.
Собрать: булочка — соус — салат — котлета —
6.
томат — лук.","О Йогуртовое тесто без дрожжей поднимается за счёт реакции разрыхлителя с молочной
кислотой. Гликемический индекс такой булочки ниже, чем у дрожжевой. Цельнозерновая мука
сохраняет отруби п зароды
летчатку,магний и витамины.группы.
Показания:
и непереносиме
дходит на сни ении веса как
замена фастфуд-бургеру.",[SWBAND.CO] 102 рецепта для снижения веса тела.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients,,low,,good,good,,SWBAND row came from OCR extraction; verify text and quantities; source notes may contain OCR artifacts,
Все рецепты!R80 | SWBAND.CO | page/file 89,Зелёная окрошка на минералке с лососем,GOOD_CANDIDATE,92,lunch,10-20 min,medium,Малосольный лосось; Минералка; Огурцы; Авокадо; Укроп; Зелёный лук,"• Малосольный лосось —
250 г
• Минералка — 1 л
Огурцы - 350 г
• Авокадо — 100 г
Укроп — 20 г
• Зелёный лук — 20 г
• Заправка: греческий йогурт
- 120 г,
лимон — 10 мл
О
А Малосольный лосось содержит омега-З в полном объёме
термообработка не нужна. Минеральная вода делает основу максимально
лёгкой. Авокадо добавляет мононенасыщенные жиры. Солёность лосося
нужно учитывать при добавлении соли — часто она не нужна вовсе.","1.
Лосось нарезать кубиком.
2.
Огурцы и авокадо нарезать мелко.
З.
Смешать йогуртовую заправку.
4.
5.
Перед подачей залить минералкой.","Показания: При дефиците омега-З и в период беременности.
Один из
Порция: —400 П",[SWBAND.CO] 102 рецепта для снижения веса тела.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients,,low,,medium,good,consider replacing rare/expensive items with CIS supermarket alternatives,SWBAND row came from OCR extraction; verify text and quantities; source notes may contain OCR artifacts,
Все рецепты!R75 | SWBAND.CO | page/file 84,Классическая окрошка на квасе с языком,GOOD_CANDIDATE,92,lunch,15-30 min,medium,Отварной говяжий язьк; Несладкий квас; Огурцы; редис; Яйца; отварной картофель,"Отварной говяжий язьк
- 350 г
• Несладкий квас — 1,2 л
Огурцы — 300 г • редис
- 200 г
Яйца — 4 шт. • отварной картофель — 250
Зелёный лук — 30 г • укроп — 20 г
• Соль — 6 г • чёрный перец — 2 г
• Заправка: сметана — 120 г, горчица
— 15 г, тёртый хрен — 10 г
Л После смешивания окрошку обязательно охладите минимум 20 минут
Д
раскрывается только в холодном виде.
О
Говяжий язьк — богатый источник железа, цинка и витамина В12. Квас содержит
витамины группы В, живые дрожжи и молочнокислые бактерии. Хрен в заправке
стимулирует щеварение
, пищеваре в жару. одно","1.
Нарежьте мелким кубиком язьк,
картофель, яйцо, огурцы и редис.
2.
Зелёный лук и укроп мелко нарубите.
Смешайте сметану с горчицей и
З.
хреном.
4.
поперчите.
5.
Перед подачей залейте хорошо
охлаждённым квасом.
Охладите 20 минут.
6.
— вкус",", пищеваре в жару. одно
Показания: При железод
из лучших ле их восстанавливающиЖ'5ћО",[SWBAND.CO] 102 рецепта для снижения веса тела.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients,,low,,good,good,,SWBAND row came from OCR extraction; verify text and quantities; source notes may contain OCR artifacts,
Все рецепты!R41 | SWBAND.CO | page/file 47,Лахмаджун,GOOD_CANDIDATE,92,unknown,up to 15 min,medium,Тонкий лаваш; Говяжий фарш; Томаты; Сулугуни; лук; Паприка,"Тонкий лаваш — 2 листа (160 г)
- 500 г
• Говяжий фарш
• Томаты — 200 г
Сулугуни — 180 г
лук - 70 г
Паприка — 4 г • Соль — 7 г","1.
Лук и томаты очень мелко
нарезать.
2.
Смешать с фаршем и специями.
З.
Разрезать лаваш на 4 части.
4.
Тонко распределить фарш по
поверхности.
5.
Посыпать натёртым сулугуни.
Запекать 12—15 минут при 220 0 С.
6.","О Лаваш снижает калорийность вдвое по сравнению с
традиционным ламаджо. Томаты при 220 0 С увеличивают
биодоступность ликопина.
Показания: Для быстрого обеда с высоким содержанием белка.
Вписывается в рацион при снижении веса",[SWBAND.CO] 102 рецепта для снижения веса тела.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients,,low,,good,good,,SWBAND row came from OCR extraction; verify text and quantities; source notes may contain OCR artifacts,
Все рецепты!R56 | SWBAND.CO | page/file 63,Молодая морковь с йогуртом и фисташками,GOOD_CANDIDATE,92,unknown,15-30 min,medium,Молодая морковь; Рафинированное масло авокадо; мл; для подачи: йогурт; фисташки; оливковое масло extra virgin,"• Молодая морковь — 700 г
• Рафинированное масло авокадо —
15 мл
• для подачи: йогурт — 150 г,
фисташки — 30 г, мята — 10 г,
оливковое масло extra virgin — 10
мл","1.
Морковь смазать маслом.
Запекать 30 мин при 2000С до
2.
мягкости и карамелизации.
Йогурт выложить на блюдо.
З.
Сверху выложить горячую морковь.
4.
5.
Посыпать фисташками и мятой.
Сбрызнуть оливковым маслом.
6.","О Запекание моркови повышает биодоступность бета-каротина —
каротиноиды высвобождаются из разрушенных клеточных стенок.
Оливковое масло при подаче необходимо для их усвоения. Фисташки
содержат витамин Вб, медь и лютеин.
Показания: При дефиците витамина А — сухость кожи, ухудшение
зрения в сумерках. Хорошо подходит для детского питания.
Порция -175 г морк ви• соус",[SWBAND.CO] 102 рецепта для снижения веса тела.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients,,low,,medium,good,consider replacing rare/expensive items with CIS supermarket alternatives,SWBAND row came from OCR extraction; verify text and quantities; source notes may contain OCR artifacts,
Все рецепты!R74 | SWBAND.CO | page/file 82,Обновлённый «Король микробиома»,GOOD_CANDIDATE,92,snack,10-20 min,medium,Топинамбур; Морковь; Свёкла; Сельдерей; Капуста; Шпинат,"Топинамбур — 150 г • Морковь — 100 г
• Свёкла — 100 г • Сельдерей — 100 г
• Капуста — 150 г • Шпинат — 50 г
Яблоко с кожурой — 100 г
Варёный нут — 100 г
Семена чиа — 15 г
• Молотые семена льна — 15 г
Грецкие орехи — 20 г
Заправка: оливковое масло, лимон,
горчица, специи
Д
Вводить в рацион постепенно — большое количество инулина может вызывать
вздутие.
А Топинамбур содержит инулин — один из наиболее эффективных пребиотиков,
О
питающих бифидобактерии. Семена чиа и льна добавляют растворимую клетчатку
и омега-З. Су марно салат наёт околе 40 г клетчатки — двойная уточная норма.","1.
Все овощи и яблоко нарезать или
натереть.
2.
Смешать всё в большой миске.
З.
Добавить нут, семена чиа, льна и орехи.
Заправить оливковым маслом, лимоном
4.
и горчицей.
5.
Перемешать.","Показания: При дисбак
эм холестер е",[SWBAND.CO] 102 рецепта для снижения веса тела.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients,,low,,medium,good,consider replacing rare/expensive items with CIS supermarket alternatives,SWBAND row came from OCR extraction; verify text and quantities; source notes may contain OCR artifacts,
Все рецепты!R79 | SWBAND.CO | page/file 88,Окрошка fit с индюшачьей колбасой,GOOD_CANDIDATE,92,lunch,up to 15 min,easy,Индюшачья варёная колбаса; зоо; Квас; Огурцы; Редис; Яйца,"Индюшачья варёная колбаса
- зоо
• Квас —1 л
Огурцы — 300 г
• Редис — 180 г
Яйца — 4 шт.
• Зелёный лук — 20 г
Укроп — 20 г
• Заправка: сметана — 100 г, горчица
— 10 г
О
А Готовый продукт без необходимости варить мясо. Важно выбирать
колбасу без нитратов и с минимумом добавок. Горчица стимулирует
пищеварение. Это самый быстрый вариант окрошки — готовится за 10 минут.","1.
Колбасу и все овощи нарезать
мелким кубиком.
2.
Яйца сварить, нарезать.
З.
Смешать со сметаной и горчицей.
4.
Залить квасом. Охладить.","Показания: Хорошо подходит как быст ый обе в жару. Качество
колбасы напрямую влияеЂД91
поль Фло о. тайте соста
Порция: -400 мл",[SWBAND.CO] 102 рецепта для снижения веса тела.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients,,low,,medium,good,consider replacing rare/expensive items with CIS supermarket alternatives,SWBAND row came from OCR extraction; verify text and quantities; source notes may contain OCR artifacts,
Все рецепты!R77 | SWBAND.CO | page/file 86,Окрошка на кефире и минералке с индейкой,GOOD_CANDIDATE,92,lunch,15-30 min,medium,Отварная индейка; Кефир; Минералка; Огурцы; Редис; Яйца,"Отварная индейка — 350 г
• Кефир — 700 мл
• Минералка — 500 мл
Огурцы — 300 г
• Редис — 180 г
Яйца — 4 шт.
• Зелёный лук — 20 г
Укроп — 20 г
• Соль —6 г
О
А Кефир с минеральной водой — лёгкая основа без дрожжей квасного
брожения. Минеральная вода добавляет карбонатацию и лёгкую
освежающую кислинку. Индейка — диетическое мясо с высоким
содержанием триптофана. Кефир поставляет пробиотики.","1.
Индейку и все овощи нарезать
мелким кубиком.
2.
Яйца сварить вкрутую, нарезать.
З.
Смешать кефир с минералкой.
4.
Соединить все компоненты.
Посолить.
5.
Охладить минимум 30 мин.","Показания: При непереносимости дрожжей.и.,дисб териозе.
Хорошо пе еносится",[SWBAND.CO] 102 рецепта для снижения веса тела.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients,,low,,medium,good,consider replacing rare/expensive items with CIS supermarket alternatives,SWBAND row came from OCR extraction; verify text and quantities; source notes may contain OCR artifacts,
